"rules","support","confidence","coverage","lift","count"
"FEMALE:",NA,NA,NA,NA,NA
"{PotableWaterFromHouse,DontTreatWater,washHandsLatWater} => {Wasting}",0.118705035971223,1,0.118705035971223,1.08171206225681,33
"{DewormPill,houseDustFloor,SickLast2Weeks} => {Wasting}",0.107913669064748,1,0.107913669064748,1.08171206225681,30
"{DewormPill,SickLast2Weeks,RiverCleaning} => {Wasting}",0.111510791366906,1,0.111510791366906,1.08171206225681,31
"{WalkBarefoot,momFinishedPrimary,SickLast2Weeks} => {Wasting}",0.107913669064748,1,0.107913669064748,1.08171206225681,30
"{EatRawVeg,momFinishedPrimary,RiverCleaning} => {Wasting}",0.122302158273381,1,0.122302158273381,1.08171206225681,34
"MALE:",NA,NA,NA,NA,NA
"{DefecateField,washHandsLatWater} => {Wasting}",0.112956810631229,1,0.112956810631229,1.11895910780669,34
"{CookElectric,momFinished2Up} => {Wasting}",0.162790697674419,1,0.162790697674419,1.11895910780669,49
"{Urban,DefecateField,washHandsLatWater} => {Wasting}",0.102990033222591,1,0.102990033222591,1.11895910780669,31
"{KitchenSeparate,DefecateField,washHandsLatWater} => {Wasting}",0.106312292358804,1,0.106312292358804,1.11895910780669,32
"{LatOutside,DefecateField,washHandsLatWater} => {Wasting}",0.112956810631229,1,0.112956810631229,1.11895910780669,34
"NOTURBAN:",NA,NA,NA,NA,NA
"{washHandsLatWater} => {Wasting}",0.123809523809524,1,0.123809523809524,1.10526315789474,13
"{SheepGoat} => {Wasting}",0.133333333333333,1,0.133333333333333,1.10526315789474,14
"{Chicken} => {Wasting}",0.333333333333333,1,0.333333333333333,1.10526315789474,35
"{DewormPill,washHandsLatWater} => {Wasting}",0.104761904761905,1,0.104761904761905,1.10526315789474,11
"{DontTreatWater,washHandsLatWater} => {Wasting}",0.114285714285714,1,0.114285714285714,1.10526315789474,12
"URBAN:",NA,NA,NA,NA,NA
"{CookElectric,EatSoil,momFinished2Up} => {Wasting}",0.151898734177215,0.986301369863014,0.154008438818565,1.08470266662429,72
"{KitchenSeparate,CookElectric,momFinished2Up} => {Wasting}",0.145569620253165,0.985714285714286,0.147679324894515,1.08405701027511,69
"{Vaccine,CookElectric,momFinished2Up} => {Wasting}",0.130801687763713,0.984126984126984,0.132911392405063,1.08231134681251,62
"{BCGScar,PotableWaterFromHouse,momFinished2Up} => {Wasting}",0.109704641350211,0.981132075471698,0.111814345991561,1.07901764216609,52
"{CookElectric,EatRawVeg,momFinished2Up} => {Wasting}",0.107594936708861,0.980769230769231,0.109704641350211,1.07861859718008,51
"Wasting OVERALL:",NA,NA,NA,NA,NA
"{Vaccine,CookElectric,momFinished2Up} => {Wasting}",0.120898100172712,0.985915492957746,0.122625215889465,1.08525678787554,70
"{Chicken,HousePet,EatSoil} => {Wasting}",0.107081174438687,0.984126984126984,0.10880829015544,1.08328806807894,62
"{Chicken,HousePet,RadioTV} => {Wasting}",0.105354058721934,0.983870967741935,0.107081174438687,1.08300625536612,61
"{CookElectric,EatSoil,momFinished2Up} => {Wasting}",0.14853195164076,0.977272727272727,0.151986183074266,1.07574317317663,86
"{KitchenSeparate,CookElectric,momFinished2Up} => {Wasting}",0.143350604490501,0.976470588235294,0.146804835924007,1.07486021024379,83
