"","term","estimate","std.error","statistic","p.value","p.adjust(summary(StepLINThinness)$coefficients[, 4], method = ""BH"")","2.5 %","97.5 %"
"(Intercept)","(Intercept)",-0.0245204855502862,0.0246634190502819,-0.994204635630433,0.320357891667249,0.320357891667249,-0.0729170462284478,0.0238760751278755
"FamilySize","FamilySize",0.0050021206319878,0.00311184043621198,1.60744766144785,0.108264172694741,0.131913579751535,-0.0011041849935564,0.011108426257532
"CookElectric","CookElectric",0.0214032325087496,0.0119312061510622,1.79388674018043,0.073125900295701,0.131913579751535,-0.00200914763515169,0.0448156126526509
"SheepGoat","SheepGoat",0.047922219210453,0.0233279489050413,2.05428344367201,0.0402014135946835,0.131913579751535,0.00214622633703242,0.0936982120838735
"Chicken","Chicken",-0.0226504765139739,0.013493361088337,-1.67863858127623,0.0935273064060939,0.131913579751535,-0.0491282437421386,0.00382729071419081
"washHandsSoapB4Eat","washHandsSoapB4Eat",0.0282289882203565,0.0177998984315098,1.58590726396421,0.113068782644173,0.131913579751535,-0.00669941577543233,0.0631573922161453
"SchoolLatClean","SchoolLatClean",0.116104708610443,0.0706871118271059,1.64251594964615,0.100789843888183,0.131913579751535,-0.0226032738363557,0.254812691057241
