"","term","estimate","std.error","statistic","p.value","p.adjust(summary(StepStunting)$coefficients[1:9, 4], method = ""BH"")","2.5 %","97.5 %"
"(Intercept)","(Intercept)",0.153317919073349,0.36103462995539,-5.19407684308449,2.05738155390977e-07,1.8516433985188e-06,0.0751280863519839,0.309782650526151
"Age","Age",1.1204117123634,0.0314309800607053,3.61732971302308,0.000297658034767688,0.0013394611564546,1.05357812940993,1.19188616054436
"Sex","Sex",0.581646482297463,0.156696425730088,-3.45823098396957,0.000543734990278793,0.00163120497083638,0.426945171893459,0.789547413299376
"Vaccine","Vaccine",0.468911895044264,0.250268090954928,-3.02611644313887,0.00247716884778168,0.00557362990750879,0.283640283517402,0.758550096801544
"BCGScar","BCGScar",1.41138145176411,0.237850183701339,1.44868073006075,0.147426764325739,0.165855109866456,0.895785752608935,2.28196420885665
"CookElectric","CookElectric",0.68341566614225,0.162938520301989,-2.33616958735625,0.019482404682895,0.0350683284292109,0.494753585257511,0.937727696416819
"HousePet","HousePet",1.37435046848075,0.156184432039734,2.03593424003041,0.0417569590282767,0.0626354385424151,1.01070102237103,1.86533630483695
"DontUseTP","DontUseTP",1.46141348115026,0.219434060858686,1.72901191212794,0.083806963133571,0.107751809743163,0.94242627723233,2.23226207464805
"SchoolLatClean","SchoolLatClean",5.29690674194931e-07,529.939281682834,-0.027269110129911,0.978245094247741,0.978245094247741,NA,232484873779102
