"","term","estimate","std.error","statistic","p.value","p.adjust(summary(StepLINWasting)$coefficients[, 4], method = ""BH"")","2.5 %","97.5 %"
"(Intercept)","(Intercept)",-0.246931636007988,0.0906287741679821,-2.72464940936193,0.00663388224469703,0.0232185878564396,-0.424937419592707,-0.0689258524232694
"Age","Age",0.0453188125532589,0.0103179853101873,4.3922152620739,1.33709128519091e-05,9.3596389963364e-05,0.0250530517392461,0.0655845733672718
"Sex","Sex",-0.0364322248980384,0.023928774588482,-1.52252781534308,0.128429504033004,0.128429504033004,-0.0834312084984328,0.010566758702356
"Chicken","Chicken",-0.0430087499647557,0.0263653990727255,-1.63125730985985,0.103386459585815,0.128429504033004,-0.094793556330617,0.00877605640110567
"DefecateField","DefecateField",-0.0634255117377222,0.0293281992784041,-2.1626118649714,0.030984763564236,0.0542233362374129,-0.121029613101872,-0.00582141037357218
"DontUseSchoolLat","DontUseSchoolLat",-0.0483384185812097,0.0317283835121966,-1.52350713242696,0.128184528643255,0.128429504033004,-0.110656769687853,0.0139799325254341
"SchoolLatClean","SchoolLatClean",0.433154972605547,0.200105295339701,2.16463523301678,0.0308285681098412,0.0542233362374129,0.0401241694924759,0.826185775718618
