"","term","estimate","std.error","statistic","p.value","2.5 %","97.5 %"
"WaterWashEat","WaterWashEat",0.935190746831891,0.285162014344679,-0.234970858048036,0.814231351951447,0.538644601187342,1.65194230519418
"AlwaysSoil","AlwaysSoil",1.16201421494009,1.35004459076104,0.111222171881956,0.911440170091766,0.0420109052004259,12.8441767866665
"SometimesSoil","SometimesSoil",0.721336701414649,0.432079386388656,-0.755993617702895,0.449653022283722,0.296630458463539,1.63340941261569
"NeverWashFruits","NeverWashFruits",0.807320664842063,0.529137112804808,-0.404496925756401,0.685847338097533,0.273046612792596,2.20922407000989
"SometimesWashFruits","SometimesWashFruits",1.14263939253438,0.216694505368664,0.615340212304008,0.538330066443665,0.749382954653152,1.75444200091675
"SometimesRawVeg","SometimesRawVeg",0.815891961436179,0.194535389609631,-1.04594507658877,0.295586391019049,0.557596626544412,1.19651751333261
"AlwaysRawVeg","AlwaysRawVeg",0.000000333617294562045,1107.75246944399,-0.0134626387545573,0.989258692854867,NA,2990130042359888762664400202468288208642202882664
"SometimesBarefoot","SometimesBarefoot",1.39769447498124,0.192855609964041,1.73613863567287,0.0825393243533634,0.957858486144296,2.04166198156363
"AlwaysBarefoot","AlwaysBarefoot",0.870790862688333,0.520715979716172,-0.265698476855953,0.790471436526494,0.288373831613519,2.28439020943886
"NoShoes","NoShoes",1.10455312717952,0.745798337791008,0.133334761346171,0.893928637446509,0.279809154594153,5.63123699195919
"Sandals","Sandals",0.826931605582298,0.736879674699652,-0.257889172056588,0.796492441731284,0.213647185806737,4.1581243427876
"Deworm","Deworm",1.05310101375771,0.319986654199584,0.161691612341846,0.871548710005265,0.559185177333018,1.96402277507269
"Antibiotic","Antibiotic",0.771458124103855,0.325877638554753,-0.796227959506784,0.425899549279183,0.39935927797538,1.43991293041782
"Drugs","Drugs",1.84185986236089,0.493299133608932,1.23814500018442,0.215662300707907,0.676051548433934,4.74608435180052
"Antimalarial","Antimalarial",0.896469513289007,0.909315323605737,-0.120190422451175,0.904332304553606,0.133029602826307,5.22394739798793
"Wheezing","Wheezing",4004484672725.32,2513.81652192915,0.0115435775698223,0.990789762231514,Inf,1.50151623351918e+105
"Wheezing0y","Wheezing0y",NA,NA,NA,NA,NA,NA
"Wheezing0y.1","Wheezing0y.1",5.55478228788339,1.59500630005896,1.07501721476584,0.282367021134633,0.176581097662781,191.46514367881
"Wheeze13","Wheeze13",1.69302947469626,0.184633553692826,2.85170004158193,0.00434861146172272,1.17873193249369,2.4327030092271
"Wheeze412","Wheeze412",0.000000000000151487869116269,3393.46942555453,-0.00869855217280567,0.993059647043505,NA,4.40191127882277e+164
"Asthma","Asthma",NA,NA,NA,NA,NA,NA
"Asthma0y","Asthma0y",0.0000000942698000112118,2399.54478191088,-0.00674173913108,0.994620911181918,NA,1.27212689704327e+205
"Asthma0y.1","Asthma0y.1",5.25658334416136,1.64730769581814,1.00738997672907,0.313747406142371,0.163574946301088,239.905410074217
"NoDoctCon","NoDoctCon",13247071521771.1,958.549540202846,0.031521373032336,0.974853747397814,Inf,1.68295778198742e+193
"Rash","Rash",0.166740560987423,1.67517022545403,-1.06933383505885,0.284919269659642,0.0035196008532635,5.58577166335415
"Sneeze","Sneeze",0.000000466650394785091,2399.54554544557,-0.00607518598953279,0.995152732712028,NA,3.61434326750112e+146
"HayFever","HayFever",1.02216296228613,1038.51395335427,0.000021107981545114,0.999983158267417,0.00102445480558976,937.214162994704
"Colds","Colds",31885360763912.5,2595.04948992096,0.0119817245223761,0.990440195729345,1779063.99079099,539145705572007477248
