"","Stunting_PV","Stunting_COR","Stunting_2.5","Stunting_97.5","Thinness_PV","Thinness_COR","Thinness_2.5","Thinness_97.5","Wasting_PV","Wasting_COR","Wasting_2.5","Wasting_97.5"
"DocConfirmedAsthma",0.360437928412209,0.380471386930675,-3.88355902461202,0.71287031935382,0.297234288148676,3.04320987654247,-1.81486399696887,2.82392700778882,0.987433741423933,6.25661433715784e-07,NA,67.0237565939083
"Rash",0.466671185270984,0.810392482032902,-0.808368407352044,0.331140784323387,0.988100796141955,1.00919117647055,-1.42990155862732,1.06059008722383,0.459958399154732,0.671679198018587,-1.62161096578094,0.545226860184728
"momFinishedPrimary",0.588759984687068,0.921512120697469,-0.379776750043557,0.213427106172148,0.192675622448902,0.628120649686964,-1.19869096569061,0.214256069160436,0.932580670970691,1.02479823917828,-0.550092212214099,0.590729168284174
"houseDustFloor",0.115214832890084,1.27649077649384,-0.0617866329937787,0.546294946576122,0.121091808688994,0.533821585261125,-1.4895619521696,0.119546058808447,0.519235822742441,0.817344817344965,-0.839936707634121,0.394822324217641
"washHandsLatWater",0.977906403763868,0.995061728395015,-0.362172765805674,0.339751486672146,0.597847545931584,0.798518518524028,-1.14307726017645,0.554825577811378,0.880003873297358,0.950746268656725,-0.741801203388799,0.580037531086734
"washHandsLatWaterSoap",0.661380738573305,0.928207086548864,-0.403625023200459,0.264061895673944,0.901267892507788,1.04958183990417,-0.678253608138984,0.869587729452324,0.557586730060849,1.2160783513566,-0.432787745304325,0.885271012168364
"washHandsWaterB4Eat",0.756275926301648,1.07294832826844,-0.388926482771156,0.503346067737209,0.112627936591617,0.198770492467882,-4.49723480048587,-0.0711961471190252,0.952912570915381,0.975199020208205,-0.94219983590396,0.749446305278765
"washHandsSoapB4Eat",0.664341107388242,0.907328605199894,-0.525395064739069,0.355996612828438,0.108533663562441,5.12514349162049,0.0899606008724473,4.51572822416036,0.892717874718077,1.05897193314411,-0.71621047889601,0.973697050154587
"SickLast2Weeks",0.597532404937049,0.916757940853322,-0.414244557755407,0.231899467446779,0.456277954740971,0.748208313435527,-1.11010298942169,0.435036240542666,0.46845577431986,0.797078159240545,-0.864868235007704,0.369496510146206
"NailsMaintained",0.208677967242468,0.828902280513408,-0.48058564449459,0.105008136774469,0.151335688450696,1.6527472526437,-0.168129114230825,1.21723140824005,0.530929268216897,1.20246193715572,-0.385862531528024,0.773810981138423
"SchoolLatClean",0.97920705382015,5.93646151960558e-07,NA,35.0138893900964,0.164075771287751,4.57870370370228,-1.43065873594855,3.32422920113049,0.103871139204862,10.0961538461537,-0.927855815930205,5.55226947115828
"RadioTV",0.701811577789498,0.909760589317554,-0.564433986144364,0.407894418975585,0.426123600479018,0.675555555555856,-1.27350827862699,0.699149978080403,0.740394986254043,0.859353023909993,-0.97925654328208,0.844754132754068
"RiverCleaning",0.162279431465776,1.23209341519485,-0.0842552091752447,0.501701975082,0.959988530289513,1.01699779249442,-0.652534505778939,0.675224637042686,0.900973477760035,0.964270215535955,-0.620198597331196,0.532034242192585
"OtherMeds",0.338536866390523,1.37968728379783,-0.3713892831709,0.958027634272349,0.987288969269765,2.21780513093098e-07,-303.002582535304,31.0952690435377,0.666693734003306,0.724763979674044,-2.16426019034265,0.922500608042151
"momFinished2Up",0.979348455781707,1.00432900432906,-0.32760415829802,0.327412840622866,0.156086062811552,1.63446054749631,-0.210839574263798,1.15885042253266,0.545132162452968,0.821153846154017,-0.867002340254129,0.418988140009833
