"","Stunting_PV","Stunting_COR","Stunting_2.5","Stunting_97.5","Thinness_PV","Thinness_COR","Thinness_2.5","Thinness_97.5","Wasting_PV","Wasting_COR","Wasting_2.5","Wasting_97.5"
"Age",0.00219235146600643,1.09546887204773,0.032815526399992,0.149635379872769,0.331004893111542,1.06618074754952,-0.0673703060414144,0.192078467333304,5.53662371341092e-05,1.82958184512496,0.32153709606061,0.91156715805338
"Sex",0.00535964814206179,0.658355437663881,-0.713607608152244,-0.124647082664083,0.802347947579429,1.08772329047633,-0.574202274908955,0.753407104411394,0.201542156942007,0.686892023347108,-0.964728689848897,0.194261655812456
"FamilySize",0.551668743645507,1.02383353897361,-0.0547504671584085,0.100578754857281,0.105003144579555,1.14167588633016,-0.0339724751109258,0.287381970443535,0.971535955339611,0.99714340531927,-0.163707791491154,0.151231547762292
"Vaccine",0.00760565419946256,0.655803316179363,-0.730004138082588,-0.109775049683678,0.938831899029593,0.972275950999449,-0.720879925442937,0.730200257689187,0.467846399387476,1.27377998345674,-0.385832646004466,0.931164088542756
"BCGScar",0.334348007802641,0.865194180690457,-0.438409385045686,0.15005848089344,0.29390948762297,0.703474974655809,-1.01568670412479,0.308559085387478,0.304302184873455,1.36551600143723,-0.270527230728526,0.925409076720274
"Urban",0.872006714310692,1.03078523140964,-0.331509836105861,0.407719240175158,0.895004821808788,1.05800214822739,-0.725000764402859,0.975556991220759,0.939172614011967,0.972261072261074,-0.713253362464225,0.746542781747208
"KitchenSeparate",0.203873854553984,1.46980652726499,-0.179085520412323,1.01794379746009,0.988100796141938,0.990892531876165,-1.06059008722381,1.42990155862736,0.718307245434228,0.819979716024343,-1.17174411125092,1.04137272337958
"CookElectric",0.0467943427844713,0.732634338136885,-0.6212242541866,-0.00715698510122085,0.0640208370959485,1.86401833450448,-0.0361373822079844,1.29266871770267,0.366462005149569,0.75742574257468,-0.902862996629359,0.310609331808344
"Cattle",0.208984251641295,1.40275418045356,-0.209010880739211,0.852215510466935,0.672908154220001,0.732539682582142,-2.14141810069747,0.903876719201153,0.471708834883913,0.585858586194741,-2.37168287716671,0.696548509872949
"SheepGoat",0.743500723116895,1.09640924741884,-0.484966627625565,0.624001690907191,0.144313946359993,2.06473214285551,-0.371987510546911,1.61540690564144,0.212067165112954,0.278280542992096,-4.16706375227441,0.287080708344425
"Chicken",0.851530084059939,1.03132207026052,-0.2965554658787,0.350203080708108,0.354931361101871,0.687235329736624,-1.23783804824777,0.37337829313364,0.145326340164411,0.588418916860331,-1.29765196444945,0.144709720556751
