"","term","estimate","std.error","statistic","p.value","p.adjust(summary(StepThinness)$coefficients[, 4], method = ""BH"")","2.5 %","97.5 %"
"(Intercept)","(Intercept)",0.00311100099388776,1.15244258734245,-5.00919595040613,5.46579019217669e-07,4.37263215374135e-06,0.000151724641474801,0.0210653403874379
"FamilySize","FamilySize",1.1421600019834,0.0851472679742653,1.56107425872477,0.118506230826701,0.152631289739239,0.960689295267133,1.34240374611592
"CookElectric","CookElectric",1.9185530933702,0.347474522462881,1.87516281804277,0.0607703276557464,0.121920463666391,0.973198670988533,3.83999996442988
"SheepGoat","SheepGoat",4.05165787283607,0.572324388677794,2.44463834907843,0.0144997456804973,0.0579989827219893,1.20646185060283,11.8569062184524
"Chicken","Chicken",0.44672239574037,0.471286422444865,-1.70982629146153,0.0872979997010036,0.139676799521606,0.16463008334829,1.06167460169707
"washHandsSoapB4Eat","washHandsSoapB4Eat",4.6555862299075,1.02521487619626,1.50023948544292,0.133552378521834,0.152631289739239,0.973288042350794,83.6286734357077
"SchoolLatClean","SchoolLatClean",8.98460938679546,1.17170031021185,1.87378378774163,0.0609602318331953,0.121920463666391,0.433165491475927,68.0511745597476
"OtherMeds","OtherMeds",2.13441123723643e-07,901.659262495595,-0.0170351544627823,0.98640857063061,0.98640857063061,4.89794814328673e-127,592372580440.926
